Compared 196 tensors.
tensor                                                                  flip_frac
  model.layers.0.mlp.down_proj.weight                                     0.2416
  model.layers.0.mlp.gate_proj.weight                                     0.2933
  model.layers.0.mlp.up_proj.weight                                       0.2998
  model.layers.0.self_attn.k_proj.weight                                  0.2942
  model.layers.0.self_attn.o_proj.weight                                  0.2383
  model.layers.0.self_attn.q_proj.weight                                  0.3016
  model.layers.0.self_attn.v_proj.weight                                  0.2110
  model.layers.1.mlp.down_proj.weight                                     0.2546
  model.layers.1.mlp.gate_proj.weight                                     0.2677
  model.layers.1.mlp.up_proj.weight                                       0.3301
  model.layers.1.self_attn.k_proj.weight                                  0.2883
  model.layers.1.self_attn.o_proj.weight                                  0.2540
  model.layers.1.self_attn.q_proj.weight                                  0.2907
  model.layers.1.self_attn.v_proj.weight                                  0.2425
  model.layers.10.mlp.down_proj.weight                                    0.2620
  model.layers.10.mlp.gate_proj.weight                                    0.2949
  model.layers.10.mlp.up_proj.weight                                      0.2937
  model.layers.10.self_attn.k_proj.weight                                 0.2874
  model.layers.10.self_attn.o_proj.weight                                 0.2461
  model.layers.10.self_attn.q_proj.weight                                 0.2968
  model.layers.10.self_attn.v_proj.weight                                 0.2269
  model.layers.11.mlp.down_proj.weight                                    0.2594
  model.layers.11.mlp.gate_proj.weight                                    0.2971
  model.layers.11.mlp.up_proj.weight                                      0.2884
  model.layers.11.self_attn.k_proj.weight                                 0.2889
  model.layers.11.self_attn.o_proj.weight                                 0.2589
  model.layers.11.self_attn.q_proj.weight                                 0.2850
  model.layers.11.self_attn.v_proj.weight                                 0.2292
  model.layers.12.mlp.down_proj.weight                                    0.2618
  model.layers.12.mlp.gate_proj.weight                                    0.2980
  model.layers.12.mlp.up_proj.weight                                      0.2880
  model.layers.12.self_attn.k_proj.weight                                 0.2720
  model.layers.12.self_attn.o_proj.weight                                 0.2511
  model.layers.12.self_attn.q_proj.weight                                 0.2781
  model.layers.12.self_attn.v_proj.weight                                 0.2280
  model.layers.13.mlp.down_proj.weight                                    0.2675
  model.layers.13.mlp.gate_proj.weight                                    0.2972
  model.layers.13.mlp.up_proj.weight                                      0.2914
  model.layers.13.self_attn.k_proj.weight                                 0.2808
  model.layers.13.self_attn.o_proj.weight                                 0.2529
  model.layers.13.self_attn.q_proj.weight                                 0.2776
  model.layers.13.self_attn.v_proj.weight                                 0.2290
  model.layers.14.mlp.down_proj.weight                                    0.2718
  model.layers.14.mlp.gate_proj.weight                                    0.2968
  model.layers.14.mlp.up_proj.weight                                      0.2924
  model.layers.14.self_attn.k_proj.weight                                 0.2805
  model.layers.14.self_attn.o_proj.weight                                 0.2544
  model.layers.14.self_attn.q_proj.weight                                 0.2861
  model.layers.14.self_attn.v_proj.weight                                 0.2278
  model.layers.15.mlp.down_proj.weight                                    0.2742
  model.layers.15.mlp.gate_proj.weight                                    0.2984
  model.layers.15.mlp.up_proj.weight                                      0.2942
  model.layers.15.self_attn.k_proj.weight                                 0.2898
  model.layers.15.self_attn.o_proj.weight                                 0.2575
  model.layers.15.self_attn.q_proj.weight                                 0.2981
  model.layers.15.self_attn.v_proj.weight                                 0.2310
  model.layers.16.mlp.down_proj.weight                                    0.2747
  model.layers.16.mlp.gate_proj.weight                                    0.3034
  model.layers.16.mlp.up_proj.weight                                      0.2979
  model.layers.16.self_attn.k_proj.weight                                 0.2951
  model.layers.16.self_attn.o_proj.weight                                 0.2628
  model.layers.16.self_attn.q_proj.weight                                 0.2874
  model.layers.16.self_attn.v_proj.weight                                 0.2387
  model.layers.17.mlp.down_proj.weight                                    0.2687
  model.layers.17.mlp.gate_proj.weight                                    0.3006
  model.layers.17.mlp.up_proj.weight                                      0.2975
  model.layers.17.self_attn.k_proj.weight                                 0.2935
  model.layers.17.self_attn.o_proj.weight                                 0.2404
  model.layers.17.self_attn.q_proj.weight                                 0.2868
  model.layers.17.self_attn.v_proj.weight                                 0.2171
  model.layers.18.mlp.down_proj.weight                                    0.2706
  model.layers.18.mlp.gate_proj.weight                                    0.3024
  model.layers.18.mlp.up_proj.weight                                      0.3008
  model.layers.18.self_attn.k_proj.weight                                 0.3015
  model.layers.18.self_attn.o_proj.weight                                 0.2687
  model.layers.18.self_attn.q_proj.weight                                 0.2909
  model.layers.18.self_attn.v_proj.weight                                 0.2396
  model.layers.19.mlp.down_proj.weight                                    0.2648
  model.layers.19.mlp.gate_proj.weight                                    0.3058
  model.layers.19.mlp.up_proj.weight                                      0.3036
  model.layers.19.self_attn.k_proj.weight                                 0.3114
  model.layers.19.self_attn.o_proj.weight                                 0.2623
  model.layers.19.self_attn.q_proj.weight                                 0.3027
  model.layers.19.self_attn.v_proj.weight                                 0.2523
  model.layers.2.mlp.down_proj.weight                                     0.2487
  model.layers.2.mlp.gate_proj.weight                                     0.2729
  model.layers.2.mlp.up_proj.weight                                       0.3128
  model.layers.2.self_attn.k_proj.weight                                  0.2796
  model.layers.2.self_attn.o_proj.weight                                  0.2486
  model.layers.2.self_attn.q_proj.weight                                  0.2779
  model.layers.2.self_attn.v_proj.weight                                  0.2353
  model.layers.20.mlp.down_proj.weight                                    0.2632
  model.layers.20.mlp.gate_proj.weight                                    0.3112
  model.layers.20.mlp.up_proj.weight                                      0.3068
  model.layers.20.self_attn.k_proj.weight                                 0.3042
  model.layers.20.self_attn.o_proj.weight                                 0.2604
  model.layers.20.self_attn.q_proj.weight                                 0.2916
  model.layers.20.self_attn.v_proj.weight                                 0.2497
  model.layers.21.mlp.down_proj.weight                                    0.2616
  model.layers.21.mlp.gate_proj.weight                                    0.3081
  model.layers.21.mlp.up_proj.weight                                      0.3032
  model.layers.21.self_attn.k_proj.weight                                 0.3114
  model.layers.21.self_attn.o_proj.weight                                 0.2626
  model.layers.21.self_attn.q_proj.weight                                 0.2952
