Compared 196 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.0.mlp.down_proj.weight                                     0.7925    0.0143    0.6537    0.8056
  model.layers.0.mlp.gate_proj.weight                                     0.7921    0.0091    0.6470    0.8265
  model.layers.0.mlp.up_proj.weight                                       0.7915    0.0077    0.6976    0.8125
  model.layers.0.self_attn.k_proj.weight                                  0.7941    0.0092    0.6908    0.8156
  model.layers.0.self_attn.o_proj.weight                                  0.7957    0.0096    0.6438    0.8598
  model.layers.0.self_attn.q_proj.weight                                  0.7918    0.0125    0.6889    0.8108
  model.layers.0.self_attn.v_proj.weight                                  0.7921    0.0075    0.7375    0.8241
  model.layers.1.mlp.down_proj.weight                                     0.7688    0.0219    0.5286    0.8116
  model.layers.1.mlp.gate_proj.weight                                     0.7819    0.0537    0.5617    0.8329
  model.layers.1.mlp.up_proj.weight                                       0.7919    0.0111    0.6581    0.8465
  model.layers.1.self_attn.k_proj.weight                                  0.7935    0.0095    0.7336    0.8120
  model.layers.1.self_attn.o_proj.weight                                  0.7954    0.0065    0.7087    0.8234
  model.layers.1.self_attn.q_proj.weight                                  0.7928    0.0076    0.7405    0.8151
  model.layers.1.self_attn.v_proj.weight                                  0.7914    0.0068    0.7417    0.8083
  model.layers.10.mlp.down_proj.weight                                    0.7794    0.0220    0.5484    0.7963
  model.layers.10.mlp.gate_proj.weight                                    0.7910    0.0238    0.4919    0.8130
  model.layers.10.mlp.up_proj.weight                                      0.7892    0.0235    0.5013    0.8156
  model.layers.10.self_attn.k_proj.weight                                 0.7941    0.0080    0.7550    0.8338
  model.layers.10.self_attn.o_proj.weight                                 0.7952    0.0063    0.7521    0.8127
  model.layers.10.self_attn.q_proj.weight                                 0.7926    0.0085    0.7294    0.8128
  model.layers.10.self_attn.v_proj.weight                                 0.7875    0.0071    0.7671    0.8096
  model.layers.11.mlp.down_proj.weight                                    0.7845    0.0081    0.7268    0.7999
  model.layers.11.mlp.gate_proj.weight                                    0.7931    0.0145    0.5155    0.8152
  model.layers.11.mlp.up_proj.weight                                      0.7917    0.0120    0.6201    0.8150
  model.layers.11.self_attn.k_proj.weight                                 0.7842    0.0140    0.6734    0.8088
  model.layers.11.self_attn.o_proj.weight                                 0.7947    0.0088    0.6957    0.8428
  model.layers.11.self_attn.q_proj.weight                                 0.7850    0.0092    0.6984    0.8060
  model.layers.11.self_attn.v_proj.weight                                 0.7770    0.0121    0.7259    0.8034
  model.layers.12.mlp.down_proj.weight                                    0.7840    0.0096    0.6795    0.7996
  model.layers.12.mlp.gate_proj.weight                                    0.7931    0.0140    0.5950    0.8142
  model.layers.12.mlp.up_proj.weight                                      0.7909    0.0149    0.5773    0.8133
  model.layers.12.self_attn.k_proj.weight                                 0.7901    0.0129    0.7066    0.8123
  model.layers.12.self_attn.o_proj.weight                                 0.7954    0.0060    0.7424    0.8186
  model.layers.12.self_attn.q_proj.weight                                 0.7917    0.0098    0.7058    0.8117
  model.layers.12.self_attn.v_proj.weight                                 0.7865    0.0077    0.7321    0.8063
  model.layers.13.mlp.down_proj.weight                                    0.7831    0.0097    0.6965    0.8000
  model.layers.13.mlp.gate_proj.weight                                    0.7916    0.0145    0.5173    0.8149
  model.layers.13.mlp.up_proj.weight                                      0.7906    0.0109    0.6383    0.8132
  model.layers.13.self_attn.k_proj.weight                                 0.7912    0.0099    0.7282    0.8246
