head_dim = 128
tensor                                                                  n_heads  mean   std    min    max   range
  model.layers.0.self_attn.k_proj.weight                                      8   0.2942 0.0322 0.2710 0.3634  0.0923
  model.layers.0.self_attn.o_proj.weight                                     16   0.2383 0.0308 0.1983 0.3093  0.1110
  model.layers.0.self_attn.q_proj.weight                                     16   0.3016 0.0319 0.2641 0.3716  0.1074
  model.layers.0.self_attn.v_proj.weight                                      8   0.2110 0.0266 0.1895 0.2776  0.0880
  model.layers.1.self_attn.k_proj.weight                                      8   0.2883 0.0161 0.2715 0.3177  0.0461
  model.layers.1.self_attn.o_proj.weight                                     16   0.2540 0.0269 0.2145 0.3143  0.0998
  model.layers.1.self_attn.q_proj.weight                                     16   0.2907 0.0129 0.2666 0.3163  0.0497
  model.layers.1.self_attn.v_proj.weight                                      8   0.2425 0.0165 0.2182 0.2733  0.0551
  model.layers.10.self_attn.k_proj.weight                                     8   0.2874 0.0241 0.2595 0.3374  0.0779
  model.layers.10.self_attn.o_proj.weight                                    16   0.2461 0.0276 0.2050 0.3116  0.1066
  model.layers.10.self_attn.q_proj.weight                                    16   0.2968 0.0164 0.2739 0.3253  0.0515
  model.layers.10.self_attn.v_proj.weight                                     8   0.2269 0.0247 0.1949 0.2790  0.0842
  model.layers.11.self_attn.k_proj.weight                                     8   0.2889 0.0266 0.2599 0.3325  0.0726
  model.layers.11.self_attn.o_proj.weight                                    16   0.2589 0.0308 0.2180 0.3323  0.1143
  model.layers.11.self_attn.q_proj.weight                                    16   0.2850 0.0273 0.2366 0.3567  0.1201
  model.layers.11.self_attn.v_proj.weight                                     8   0.2292 0.0154 0.2110 0.2504  0.0393
  model.layers.12.self_attn.k_proj.weight                                     8   0.2720 0.0132 0.2554 0.2918  0.0364
  model.layers.12.self_attn.o_proj.weight                                    16   0.2511 0.0087 0.2332 0.2690  0.0357
  model.layers.12.self_attn.q_proj.weight                                    16   0.2781 0.0150 0.2552 0.3082  0.0530
  model.layers.12.self_attn.v_proj.weight                                     8   0.2280 0.0081 0.2175 0.2438  0.0264
  model.layers.13.self_attn.k_proj.weight                                     8   0.2808 0.0125 0.2547 0.2938  0.0392
  model.layers.13.self_attn.o_proj.weight                                    16   0.2529 0.0171 0.2209 0.2781  0.0572
  model.layers.13.self_attn.q_proj.weight                                    16   0.2776 0.0079 0.2660 0.3015  0.0355
  model.layers.13.self_attn.v_proj.weight                                     8   0.2290 0.0055 0.2206 0.2390  0.0184
  model.layers.14.self_attn.k_proj.weight                                     8   0.2805 0.0182 0.2531 0.3087  0.0556
  model.layers.14.self_attn.o_proj.weight                                    16   0.2544 0.0177 0.2169 0.2851  0.0682
  model.layers.14.self_attn.q_proj.weight                                    16   0.2861 0.0227 0.2514 0.3320  0.0806
  model.layers.14.self_attn.v_proj.weight                                     8   0.2278 0.0107 0.2062 0.2443  0.0380
  model.layers.15.self_attn.k_proj.weight                                     8   0.2898 0.0192 0.2667 0.3171  0.0504
  model.layers.15.self_attn.o_proj.weight                                    16   0.2575 0.0149 0.2342 0.2837  0.0495
  model.layers.15.self_attn.q_proj.weight                                    16   0.2981 0.0280 0.2675 0.3764  0.1089
  model.layers.15.self_attn.v_proj.weight                                     8   0.2310 0.0174 0.2091 0.2613  0.0522
