size=1.7B
gguf=/home/user/reversing-bonsai/models/bonsai/1.7B/gguf/Bonsai-1.7B-Q1_0.gguf
base=/home/user/reversing-bonsai/models/bonsai/1.7B/base
Indexing GGUF tensors...
  197 Q1_0 tensors indexed

Walking model-00001-of-00002.safetensors...
  L -1 embed     sign=0.9993  scale=0.4120  byte=0.9993
  L  0 down      sign=0.7584  scale=0.0000  byte=0.0007
  L  0 gate      sign=0.7067  scale=0.0000  byte=0.0003
  L  0 up        sign=0.7002  scale=0.0000  byte=0.0000
  L  0 k         sign=0.7058  scale=0.0003  byte=0.0160
  L  0 o         sign=0.7617  scale=0.0001  byte=0.0007
  L  0 q         sign=0.6984  scale=0.0005  byte=0.0155
  L  0 v         sign=0.7890  scale=0.0000  byte=0.0000
  L  1 down      sign=0.7454  scale=0.0000  byte=0.0002
  L  1 gate      sign=0.7323  scale=0.0003  byte=0.0090
  L  1 up        sign=0.6699  scale=0.0000  byte=0.0003
  L  1 k         sign=0.7117  scale=0.0000  byte=0.0003
  L  1 o         sign=0.7460  scale=0.0000  byte=0.0002
  L  1 q         sign=0.7093  scale=0.0000  byte=0.0022
  L  1 v         sign=0.7575  scale=0.0000  byte=0.0000
  L 10 down      sign=0.7380  scale=0.0000  byte=0.0000
  L 10 gate      sign=0.7051  scale=0.0000  byte=0.0009
  L 10 up        sign=0.7063  scale=0.0000  byte=0.0000
  L 10 k         sign=0.7126  scale=0.0000  byte=0.0000
  L 10 o         sign=0.7539  scale=0.0000  byte=0.0000
  L 10 q         sign=0.7032  scale=0.0001  byte=0.0018
  L 10 v         sign=0.7731  scale=0.0000  byte=0.0000
  L 11 down      sign=0.7406  scale=0.0000  byte=0.0000
  L 11 gate      sign=0.7029  scale=0.0000  byte=0.0005
  L 11 up        sign=0.7116  scale=0.0000  byte=0.0000
  L 11 k         sign=0.7111  scale=0.0000  byte=0.0002
  L 11 o         sign=0.7411  scale=0.0000  byte=0.0000
  L 11 q         sign=0.7150  scale=0.0002  byte=0.0045
  L 11 v         sign=0.7708  scale=0.0000  byte=0.0000
  L 12 down      sign=0.7382  scale=0.0000  byte=0.0000
  L 12 gate      sign=0.7020  scale=0.0000  byte=0.0008
  L 12 up        sign=0.7120  scale=0.0000  byte=0.0000
  L 12 k         sign=0.7280  scale=0.0000  byte=0.0000
  L 12 o         sign=0.7489  scale=0.0000  byte=0.0000
  L 12 q         sign=0.7219  scale=0.0000  byte=0.0002
  L 12 v         sign=0.7720  scale=0.0000  byte=0.0000
  L 13 down      sign=0.7325  scale=0.0000  byte=0.0000
  L 13 gate      sign=0.7028  scale=0.0000  byte=0.0002
