Compared 252 tensors.
tensor                                                                  flip_frac
  model.layers.0.mlp.down_proj.weight                                     0.2003
  model.layers.0.mlp.gate_proj.weight                                     0.2742
  model.layers.0.mlp.up_proj.weight                                       0.2801
  model.layers.0.self_attn.k_proj.weight                                  0.2768
  model.layers.0.self_attn.o_proj.weight                                  0.2541
  model.layers.0.self_attn.q_proj.weight                                  0.3041
  model.layers.0.self_attn.v_proj.weight                                  0.2161
  model.layers.1.mlp.down_proj.weight                                     0.2485
  model.layers.1.mlp.gate_proj.weight                                     0.2788
  model.layers.1.mlp.up_proj.weight                                       0.3778
  model.layers.1.self_attn.k_proj.weight                                  0.2736
  model.layers.1.self_attn.o_proj.weight                                  0.2528
  model.layers.1.self_attn.q_proj.weight                                  0.3002
  model.layers.1.self_attn.v_proj.weight                                  0.2351
  model.layers.10.mlp.down_proj.weight                                    0.2214
  model.layers.10.mlp.gate_proj.weight                                    0.2653
  model.layers.10.mlp.up_proj.weight                                      0.2606
  model.layers.10.self_attn.k_proj.weight                                 0.2747
  model.layers.10.self_attn.o_proj.weight                                 0.2404
  model.layers.10.self_attn.q_proj.weight                                 0.3011
  model.layers.10.self_attn.v_proj.weight                                 0.1983
  model.layers.11.mlp.down_proj.weight                                    0.2249
  model.layers.11.mlp.gate_proj.weight                                    0.2714
  model.layers.11.mlp.up_proj.weight                                      0.2629
  model.layers.11.self_attn.k_proj.weight                                 0.2721
  model.layers.11.self_attn.o_proj.weight                                 0.2440
  model.layers.11.self_attn.q_proj.weight                                 0.2985
  model.layers.11.self_attn.v_proj.weight                                 0.2037
  model.layers.12.mlp.down_proj.weight                                    0.2264
  model.layers.12.mlp.gate_proj.weight                                    0.2749
  model.layers.12.mlp.up_proj.weight                                      0.2624
  model.layers.12.self_attn.k_proj.weight                                 0.2824
  model.layers.12.self_attn.o_proj.weight                                 0.2456
  model.layers.12.self_attn.q_proj.weight                                 0.3034
  model.layers.12.self_attn.v_proj.weight                                 0.2092
  model.layers.13.mlp.down_proj.weight                                    0.2296
  model.layers.13.mlp.gate_proj.weight                                    0.2775
  model.layers.13.mlp.up_proj.weight                                      0.2629
  model.layers.13.self_attn.k_proj.weight                                 0.2713
  model.layers.13.self_attn.o_proj.weight                                 0.2504
  model.layers.13.self_attn.q_proj.weight                                 0.2907
  model.layers.13.self_attn.v_proj.weight                                 0.2110
  model.layers.14.mlp.down_proj.weight                                    0.2304
  model.layers.14.mlp.gate_proj.weight                                    0.2799
  model.layers.14.mlp.up_proj.weight                                      0.2639
  model.layers.14.self_attn.k_proj.weight                                 0.2671
  model.layers.14.self_attn.o_proj.weight                                 0.2417
  model.layers.14.self_attn.q_proj.weight                                 0.2973
  model.layers.14.self_attn.v_proj.weight                                 0.2040
  model.layers.15.mlp.down_proj.weight                                    0.2374
  model.layers.15.mlp.gate_proj.weight                                    0.2833
  model.layers.15.mlp.up_proj.weight                                      0.2697
  model.layers.15.self_attn.k_proj.weight                                 0.2687
  model.layers.15.self_attn.o_proj.weight                                 0.2503
  model.layers.15.self_attn.q_proj.weight                                 0.2953
  model.layers.15.self_attn.v_proj.weight                                 0.2155
  model.layers.16.mlp.down_proj.weight                                    0.2352
  model.layers.16.mlp.gate_proj.weight                                    0.2836
  model.layers.16.mlp.up_proj.weight                                      0.2707
  model.layers.16.self_attn.k_proj.weight                                 0.2687
  model.layers.16.self_attn.o_proj.weight                                 0.2496
  model.layers.16.self_attn.q_proj.weight                                 0.3021
  model.layers.16.self_attn.v_proj.weight                                 0.2120
  model.layers.17.mlp.down_proj.weight                                    0.2411
  model.layers.17.mlp.gate_proj.weight                                    0.2865
  model.layers.17.mlp.up_proj.weight                                      0.2737
  model.layers.17.self_attn.k_proj.weight                                 0.2750
  model.layers.17.self_attn.o_proj.weight                                 0.2500
  model.layers.17.self_attn.q_proj.weight                                 0.2977
  model.layers.17.self_attn.v_proj.weight                                 0.2187
  model.layers.18.mlp.down_proj.weight                                    0.2447
  model.layers.18.mlp.gate_proj.weight                                    0.2858
  model.layers.18.mlp.up_proj.weight                                      0.2747
  model.layers.18.self_attn.k_proj.weight                                 0.2600
  model.layers.18.self_attn.o_proj.weight                                 0.2440
  model.layers.18.self_attn.q_proj.weight                                 0.2885
  model.layers.18.self_attn.v_proj.weight                                 0.2065
  model.layers.19.mlp.down_proj.weight                                    0.2465
  model.layers.19.mlp.gate_proj.weight                                    0.2882
  model.layers.19.mlp.up_proj.weight                                      0.2765
  model.layers.19.self_attn.k_proj.weight                                 0.2842
  model.layers.19.self_attn.o_proj.weight                                 0.2503
  model.layers.19.self_attn.q_proj.weight                                 0.3088
  model.layers.19.self_attn.v_proj.weight                                 0.2168
  model.layers.2.mlp.down_proj.weight                                     0.2940
  model.layers.2.mlp.gate_proj.weight                                     0.3528
  model.layers.2.mlp.up_proj.weight                                       0.3732
  model.layers.2.self_attn.k_proj.weight                                  0.2677
  model.layers.2.self_attn.o_proj.weight                                  0.2515
  model.layers.2.self_attn.q_proj.weight                                  0.2876
  model.layers.2.self_attn.v_proj.weight                                  0.2284
  model.layers.20.mlp.down_proj.weight                                    0.2475
  model.layers.20.mlp.gate_proj.weight                                    0.2887
  model.layers.20.mlp.up_proj.weight                                      0.2754
  model.layers.20.self_attn.k_proj.weight                                 0.2751
  model.layers.20.self_attn.o_proj.weight                                 0.2481
  model.layers.20.self_attn.q_proj.weight                                 0.2940
  model.layers.20.self_attn.v_proj.weight                                 0.2099
  model.layers.21.mlp.down_proj.weight                                    0.2503
  model.layers.21.mlp.gate_proj.weight                                    0.2937
  model.layers.21.mlp.up_proj.weight                                      0.2789
  model.layers.21.self_attn.k_proj.weight                                 0.2731
  model.layers.21.self_attn.o_proj.weight                                 0.2559
  model.layers.21.self_attn.q_proj.weight                                 0.2960
  model.layers.21.self_attn.v_proj.weight                                 0.2163
  model.layers.22.mlp.down_proj.weight                                    0.2452
  model.layers.22.mlp.gate_proj.weight                                    0.2968
  model.layers.22.mlp.up_proj.weight                                      0.2817
  model.layers.22.self_attn.k_proj.weight                                 0.2872
  model.layers.22.self_attn.o_proj.weight                                 0.2510
  model.layers.22.self_attn.q_proj.weight                                 0.3136
  model.layers.22.self_attn.v_proj.weight                                 0.2121
  model.layers.23.mlp.down_proj.weight                                    0.2420
  model.layers.23.mlp.gate_proj.weight                                    0.2944
  model.layers.23.mlp.up_proj.weight                                      0.2851
  model.layers.23.self_attn.k_proj.weight                                 0.2794
  model.layers.23.self_attn.o_proj.weight                                 0.2404
