Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.0.mlp.down_proj.weight                                     0.7944    0.0095    0.6950    0.8045
  model.layers.0.mlp.gate_proj.weight                                     0.7952    0.0061    0.6866    0.8132
  model.layers.0.mlp.up_proj.weight                                       0.7956    0.0060    0.7098    0.8116
  model.layers.0.self_attn.k_proj.weight                                  0.7966    0.0062    0.7627    0.8126
  model.layers.0.self_attn.o_proj.weight                                  0.7965    0.0060    0.7212    0.8136
  model.layers.0.self_attn.q_proj.weight                                  0.7962    0.0076    0.7239    0.8166
  model.layers.0.self_attn.v_proj.weight                                  0.7951    0.0069    0.7556    0.8110
  model.layers.1.mlp.down_proj.weight                                     0.7922    0.0120    0.7136    0.9048
  model.layers.1.mlp.gate_proj.weight                                     0.7037    0.1201    0.3685    0.8160
  model.layers.1.mlp.up_proj.weight                                       0.7847    0.0138    0.7101    0.8257
  model.layers.1.self_attn.k_proj.weight                                  0.7951    0.0068    0.7201    0.8103
  model.layers.1.self_attn.o_proj.weight                                  0.7972    0.0050    0.7338    0.8124
  model.layers.1.self_attn.q_proj.weight                                  0.7944    0.0068    0.7317    0.8155
  model.layers.1.self_attn.v_proj.weight                                  0.7941    0.0052    0.7661    0.8073
  model.layers.10.mlp.down_proj.weight                                    0.7911    0.0144    0.5475    0.8038
  model.layers.10.mlp.gate_proj.weight                                    0.7970    0.0114    0.4502    0.8151
  model.layers.10.mlp.up_proj.weight                                      0.7964    0.0085    0.4961    0.8137
  model.layers.10.self_attn.k_proj.weight                                 0.7932    0.0086    0.7158    0.8140
  model.layers.10.self_attn.o_proj.weight                                 0.7976    0.0045    0.7671    0.8292
  model.layers.10.self_attn.q_proj.weight                                 0.7946    0.0070    0.7414    0.8109
  model.layers.10.self_attn.v_proj.weight                                 0.7935    0.0068    0.7621    0.8098
  model.layers.11.mlp.down_proj.weight                                    0.7924    0.0124    0.5061    0.8046
  model.layers.11.mlp.gate_proj.weight                                    0.7971    0.0099    0.5831    0.8137
  model.layers.11.mlp.up_proj.weight                                      0.7964    0.0092    0.5562    0.8130
  model.layers.11.self_attn.k_proj.weight                                 0.7917    0.0164    0.6652    0.8103
  model.layers.11.self_attn.o_proj.weight                                 0.7980    0.0042    0.7545    0.8150
  model.layers.11.self_attn.q_proj.weight                                 0.7925    0.0123    0.6968    0.8152
  model.layers.11.self_attn.v_proj.weight                                 0.7938    0.0056    0.7746    0.8097
  model.layers.12.mlp.down_proj.weight                                    0.7915    0.0109    0.5713    0.8031
  model.layers.12.mlp.gate_proj.weight                                    0.7958    0.0118    0.5410    0.8139
  model.layers.12.mlp.up_proj.weight                                      0.7955    0.0112    0.4960    0.8139
  model.layers.12.self_attn.k_proj.weight                                 0.7937    0.0146    0.6667    0.8109
  model.layers.12.self_attn.o_proj.weight                                 0.7972    0.0058    0.7182    0.8108
  model.layers.12.self_attn.q_proj.weight                                 0.7945    0.0086    0.6932    0.8123
  model.layers.12.self_attn.v_proj.weight                                 0.7929    0.0069    0.7339    0.8067
  model.layers.13.mlp.down_proj.weight                                    0.7883    0.0111    0.6576    0.8015
  model.layers.13.mlp.gate_proj.weight                                    0.7952    0.0119    0.4992    0.8129
  model.layers.13.mlp.up_proj.weight                                      0.7950    0.0115    0.4283    0.8131
  model.layers.13.self_attn.k_proj.weight                                 0.7929    0.0137    0.6601    0.8115
  model.layers.13.self_attn.o_proj.weight                                 0.7972    0.0041    0.7572    0.8092
  model.layers.13.self_attn.q_proj.weight                                 0.7931    0.0100    0.7026    0.8157
  model.layers.13.self_attn.v_proj.weight                                 0.7954    0.0051    0.7649    0.8105
  model.layers.14.mlp.down_proj.weight                                    0.7884    0.0109    0.5526    0.8033
  model.layers.14.mlp.gate_proj.weight                                    0.7954    0.0109    0.5607    0.8162
  model.layers.14.mlp.up_proj.weight                                      0.7949    0.0103    0.5684    0.8122
  model.layers.14.self_attn.k_proj.weight                                 0.7946    0.0100    0.6553    0.8136
  model.layers.14.self_attn.o_proj.weight                                 0.7968    0.0045    0.7598    0.8104
  model.layers.14.self_attn.q_proj.weight                                 0.7952    0.0062    0.7347    0.8137
  model.layers.14.self_attn.v_proj.weight                                 0.7933    0.0061    0.7646    0.8110
  model.layers.15.mlp.down_proj.weight                                    0.7866    0.0117    0.6569    0.8019
  model.layers.15.mlp.gate_proj.weight                                    0.7948    0.0111    0.6220    0.8153
  model.layers.15.mlp.up_proj.weight                                      0.7946    0.0100    0.5878    0.8123
  model.layers.15.self_attn.k_proj.weight                                 0.7932    0.0102    0.7119    0.8158
  model.layers.15.self_attn.o_proj.weight                                 0.7964    0.0041    0.7701    0.8090
  model.layers.15.self_attn.q_proj.weight                                 0.7942    0.0079    0.7334    0.8124
  model.layers.15.self_attn.v_proj.weight                                 0.7945    0.0054    0.7643    0.8078
  model.layers.16.mlp.down_proj.weight                                    0.7877    0.0114    0.6076    0.8009
  model.layers.16.mlp.gate_proj.weight                                    0.7953    0.0111    0.6083    0.8261
  model.layers.16.mlp.up_proj.weight                                      0.7947    0.0103    0.5030    0.8126
  model.layers.16.self_attn.k_proj.weight                                 0.7944    0.0083    0.6893    0.8102
  model.layers.16.self_attn.o_proj.weight                                 0.7971    0.0041    0.7507    0.8101
  model.layers.16.self_attn.q_proj.weight                                 0.7949    0.0069    0.7436    0.8129
  model.layers.16.self_attn.v_proj.weight                                 0.7939    0.0058    0.7679    0.8100
  model.layers.17.mlp.down_proj.weight                                    0.7875    0.0128    0.5367    0.8017
  model.layers.17.mlp.gate_proj.weight                                    0.7950    0.0121    0.5512    0.8136
  model.layers.17.mlp.up_proj.weight                                      0.7950    0.0109    0.5571    0.8119
  model.layers.17.self_attn.k_proj.weight                                 0.7935    0.0082    0.7530    0.8128
  model.layers.17.self_attn.o_proj.weight                                 0.7961    0.0049    0.7477    0.8115
  model.layers.17.self_attn.q_proj.weight                                 0.7947    0.0072    0.7113    0.8123
  model.layers.17.self_attn.v_proj.weight                                 0.7933    0.0074    0.7642    0.8118
  model.layers.18.mlp.down_proj.weight                                    0.7860    0.0159    0.5537    0.8004
  model.layers.18.mlp.gate_proj.weight                                    0.7939    0.0148    0.5699    0.8140
  model.layers.18.mlp.up_proj.weight                                      0.7941    0.0130    0.6097    0.8140
  model.layers.18.self_attn.k_proj.weight                                 0.7944    0.0069    0.7405    0.8113
  model.layers.18.self_attn.o_proj.weight                                 0.7964    0.0047    0.7632    0.8104
  model.layers.18.self_attn.q_proj.weight                                 0.7953    0.0060    0.7544    0.8118
  model.layers.18.self_attn.v_proj.weight                                 0.7946    0.0060    0.7741    0.8077
  model.layers.19.mlp.down_proj.weight                                    0.7848    0.0218    0.4757    0.8004
  model.layers.19.mlp.gate_proj.weight                                    0.7931    0.0161    0.4731    0.8132
  model.layers.19.mlp.up_proj.weight                                      0.7932    0.0166    0.4872    0.8147
  model.layers.19.self_attn.k_proj.weight                                 0.7911    0.0190    0.6292    0.8074
  model.layers.19.self_attn.o_proj.weight                                 0.7953    0.0057    0.7455    0.8110
  model.layers.19.self_attn.q_proj.weight                                 0.7925    0.0136    0.6411    0.8101
  model.layers.19.self_attn.v_proj.weight                                 0.7939    0.0060    0.7528    0.8087
  model.layers.2.mlp.down_proj.weight                                     0.6543    0.0262    0.5381    0.8226
  model.layers.2.mlp.gate_proj.weight                                     0.6762    0.1394    0.3599    0.8231
  model.layers.2.mlp.up_proj.weight                                       0.7885    0.0183    0.5334    0.8465
  model.layers.2.self_attn.k_proj.weight                                  0.7935    0.0122    0.6986    0.8106
  model.layers.2.self_attn.o_proj.weight                                  0.7984    0.0043    0.7545    0.8111
