size=4B
gguf=/home/user/reversing-bonsai/models/bonsai/4B/gguf/Bonsai-4B-Q1_0.gguf
base=/home/user/reversing-bonsai/models/bonsai/4B/base
Indexing GGUF tensors...
  253 Q1_0 tensors indexed

Walking model-00001-of-00003.safetensors...
  L -1 embed     sign=0.9344  scale=0.0297  byte=0.8937
  L  0 down      sign=0.7997  scale=0.0001  byte=0.0027
  L  0 gate      sign=0.7258  scale=0.0000  byte=0.0000
  L  0 up        sign=0.7199  scale=0.0000  byte=0.0000
  L  0 k         sign=0.7232  scale=0.0000  byte=0.0002
  L  0 o         sign=0.7459  scale=0.0000  byte=0.0019
  L  0 q         sign=0.6959  scale=0.0001  byte=0.0014
  L  0 v         sign=0.7839  scale=0.0000  byte=0.0000
  L  1 down      sign=0.7515  scale=0.0005  byte=0.0879
  L  1 gate      sign=0.7212  scale=0.0016  byte=0.1714
  L  1 up        sign=0.6222  scale=0.0001  byte=0.0229
  L  1 k         sign=0.7264  scale=0.0000  byte=0.0000
  L  1 o         sign=0.7472  scale=0.0000  byte=0.0008
  L  1 q         sign=0.6998  scale=0.0000  byte=0.0010
  L  1 v         sign=0.7649  scale=0.0000  byte=0.0000
  L 10 down      sign=0.7786  scale=0.0000  byte=0.0000
  L 10 gate      sign=0.7347  scale=0.0001  byte=0.0032
  L 10 up        sign=0.7394  scale=0.0000  byte=0.0000
  L 10 k         sign=0.7253  scale=0.0000  byte=0.0007
  L 10 o         sign=0.7596  scale=0.0000  byte=0.0001
  L 10 q         sign=0.6989  scale=0.0000  byte=0.0032
  L 10 v         sign=0.8017  scale=0.0000  byte=0.0000
  L 11 down      sign=0.7751  scale=0.0000  byte=0.0000
  L 11 gate      sign=0.7286  scale=0.0000  byte=0.0014
  L 11 up        sign=0.7371  scale=0.0000  byte=0.0000
  L 11 k         sign=0.7279  scale=0.0000  byte=0.0000
  L 11 o         sign=0.7560  scale=0.0000  byte=0.0001
  L 11 q         sign=0.7015  scale=0.0000  byte=0.0009
  L 11 v         sign=0.7963  scale=0.0000  byte=0.0000
  L 12 down      sign=0.7736  scale=0.0000  byte=0.0000
  L 12 gate      sign=0.7251  scale=0.0001  byte=0.0032
  L 12 up        sign=0.7376  scale=0.0000  byte=0.0000
  L 12 k         sign=0.7176  scale=0.0000  byte=0.0000
  L 12 o         sign=0.7544  scale=0.0000  byte=0.0001
  L 12 q         sign=0.6966  scale=0.0000  byte=0.0020
  L 12 v         sign=0.7908  scale=0.0000  byte=0.0000
  L 13 down      sign=0.7704  scale=0.0000  byte=0.0000
  L 13 gate      sign=0.7225  scale=0.0002  byte=0.0051
