Indexing GGUF tensors...
  254 Q1_0 tensors indexed

Walking model-00001-of-00005.safetensors...
  L -1 embed     sign=0.9994  scale=0.3389  byte=0.9994
  L  0 down      sign=0.8291  scale=0.0001  byte=0.0050
  L  0 gate      sign=0.7581  scale=0.0000  byte=0.0002
  L  0 up        sign=0.7519  scale=0.0000  byte=0.0000
  L  0 k         sign=0.7704  scale=0.0002  byte=0.0050
  L  0 o         sign=0.7737  scale=0.0001  byte=0.0058
  L  0 q         sign=0.7517  scale=0.0002  byte=0.0117
  L  0 v         sign=0.8010  scale=0.0000  byte=0.0003
  L  1 down      sign=0.6783  scale=0.0001  byte=0.0045
  L  1 gate      sign=0.6551  scale=0.0000  byte=0.0014
  L  1 up        sign=0.6288  scale=0.0000  byte=0.0006
  L  1 k         sign=0.7655  scale=0.0001  byte=0.0015
  L  1 o         sign=0.7801  scale=0.0001  byte=0.0017
  L  1 q         sign=0.7621  scale=0.0002  byte=0.0086
  L  1 v         sign=0.7985  scale=0.0000  byte=0.0000
  L  2 down      sign=0.6617  scale=0.0001  byte=0.0023
  L  2 gate      sign=0.6313  scale=0.0000  byte=0.0077
  L  2 up        sign=0.6246  scale=0.0000  byte=0.0017
  L  2 k         sign=0.7667  scale=0.0000  byte=0.0010
  L  2 o         sign=0.7767  scale=0.0001  byte=0.0012
  L  2 q         sign=0.7639  scale=0.0002  byte=0.0158
  L  2 v         sign=0.7993  scale=0.0000  byte=0.0000
  L  3 down      sign=0.7043  scale=0.0000  byte=0.0008
  L  3 gate      sign=0.6749  scale=0.0001  byte=0.0060
  L  3 up        sign=0.6588  scale=0.0000  byte=0.0003
  L  3 k         sign=0.7577  scale=0.0000  byte=0.0000
  L  3 o         sign=0.7774  scale=0.0000  byte=0.0008
  L  3 q         sign=0.7712  scale=0.0001  byte=0.0098
  L  3 v         sign=0.8006  scale=0.0000  byte=0.0000
  L  4 down      sign=0.8015  scale=0.0000  byte=0.0011
  L  4 gate      sign=0.7879  scale=0.0003  byte=0.0677
  L  4 up        sign=0.7248  scale=0.0001  byte=0.0023
  L  4 k         sign=0.7633  scale=0.0000  byte=0.0000
  L  4 o         sign=0.7791  scale=0.0000  byte=0.0007
  L  4 q         sign=0.7554  scale=0.0000  byte=0.0028
  L  4 v         sign=0.8059  scale=0.0000  byte=0.0000
  L  5 down      sign=0.7991  scale=0.0000  byte=0.0003
  L  5 gate      sign=0.7754  scale=0.0003  byte=0.0074
  L  5 up        sign=0.7467  scale=0.0000  byte=0.0000
  L  5 k         sign=0.7590  scale=0.0000  byte=0.0000
  L  5 o         sign=0.7733  scale=0.0000  byte=0.0003
  L  5 q         sign=0.7528  scale=0.0001  byte=0.0031
  L  5 v         sign=0.8012  scale=0.0000  byte=0.0000
  L  6 down      sign=0.8112  scale=0.0000  byte=0.0002
  L  6 gate      sign=0.7729  scale=0.0001  byte=0.0023
  L  6 up        sign=0.7543  scale=0.0000  byte=0.0000
  L  6 k         sign=0.7612  scale=0.0000  byte=0.0000
  L  6 o         sign=0.7764  scale=0.0000  byte=0.0004
  L  6 q         sign=0.7481  scale=0.0002  byte=0.0043
  L  6 v         sign=0.8141  scale=0.0000  byte=0.0000
  L  7 k         sign=0.7536  scale=0.0000  byte=0.0011
  L  7 q         sign=0.7532  scale=0.0003  byte=0.0184
  L  7 v         sign=0.8118  scale=0.0000  byte=0.0000

Walking model-00002-of-00005.safetensors...
  L 10 down      sign=0.7987  scale=0.0000  byte=0.0001
  L 10 gate      sign=0.7547  scale=0.0001  byte=0.0028
  L 10 up        sign=0.7614  scale=0.0000  byte=0.0000
  L 10 k         sign=0.7441  scale=0.0000  byte=0.0013
  L 10 o         sign=0.7701  scale=0.0000  byte=0.0002
  L 10 q         sign=0.7327  scale=0.0003  byte=0.0096
  L 10 v         sign=0.8116  scale=0.0000  byte=0.0000
  L 11 down      sign=0.7949  scale=0.0000  byte=0.0001
  L 11 gate      sign=0.7483  scale=0.0001  byte=0.0020
  L 11 up        sign=0.7584  scale=0.0000  byte=0.0000
  L 11 k         sign=0.7451  scale=0.0000  byte=0.0002
