size=8B  gguf=/home/user/reversing-bonsai/models/bonsai/8B/gguf/Bonsai-8B-Q1_0.gguf
loaded 1728 (layer, kind, head) entries

=== H1: per-tensor head-mean scale spread ===
std-across-heads / mean-across-heads. Small = uniform across heads. Large = some heads are amplified vs others.

--- per-head spread, kind=q ---
 L  n_heads  head_mean_mu  head_mean_sigma      cv
--  -------  ------------  ---------------  ------
 0       32       0.02700          0.00532  0.1969
 1       32       0.02315          0.00205  0.0887
 2       32       0.02686          0.00352  0.1310
 3       32       0.02589          0.00263  0.1014
 4       32       0.02845          0.00335  0.1179
 5       32       0.02816          0.00452  0.1605
 6       32       0.02799          0.00236  0.0843
 7       32       0.02603          0.00287  0.1102
 8       32       0.02714          0.00182  0.0669
 9       32       0.02657          0.00311  0.1171
10       32       0.02688          0.00234  0.0872
11       32       0.02783          0.00227  0.0814
12       32       0.02770          0.00337  0.1216
13       32       0.02922          0.00481  0.1648
14       32       0.02802          0.00242  0.0865
15       32       0.02808          0.00220  0.0782
16       32       0.02854          0.00302  0.1059
17       32       0.02899          0.00279  0.0961
18       32       0.02968          0.00260  0.0877
19       32       0.02833          0.00400  0.1411
20       32       0.03004          0.00305  0.1015
21       32       0.03040          0.00284  0.0934
22       32       0.02807          0.00328  0.1168
23       32       0.03069          0.00277  0.0904
24       32       0.03200          0.00430  0.1342
25       32       0.02962          0.00257  0.0868
26       32       0.03101          0.00315  0.1015
27       32       0.03075          0.00381  0.1239
28       32       0.03136          0.00310  0.0990
29       32       0.03154          0.00381  0.1207
30       32       0.02883          0.00326  0.1129
31       32       0.02908          0.00257  0.0883
32       32       0.02855          0.00458  0.1603
33       32       0.03032          0.00472  0.1555
34       32       0.02600          0.00288  0.1106
35       32       0.02339          0.00193  0.0824

--- per-head spread, kind=k ---
 L  n_heads  head_mean_mu  head_mean_sigma      cv
--  -------  ------------  ---------------  ------
 0        8       0.03263          0.00436  0.1335
 1        8       0.02652          0.00166  0.0625
 2        8       0.03085          0.00289  0.0936
 3        8       0.03007          0.00123  0.0409
 4        8       0.03244          0.00330  0.1017
 5        8       0.03200          0.00524  0.1636
 6        8       0.03043          0.00164  0.0541
 7        8       0.02927          0.00235  0.0802
 8        8       0.03085          0.00178  0.0578
 9        8       0.03049          0.00196  0.0641
10        8       0.03019          0.00254  0.0842
11        8       0.03127          0.00200  0.0638
12        8       0.03131          0.00377  0.1205
13        8       0.03502          0.00439  0.1255
14        8       0.03213          0.00215  0.0670
15        8       0.03413          0.00445  0.1304
16        8       0.03466          0.00299  0.0864
17        8       0.03464          0.00235  0.0679
18        8       0.03575          0.00373  0.1044
19        8       0.03317          0.00427  0.1287
20        8       0.03637          0.00354  0.0972
21        8       0.03621          0.00417  0.1153
22        8       0.03511          0.00358  0.1019
23        8       0.03525          0.00208  0.0591
24        8       0.03655          0.00443  0.1212
25        8       0.03551          0.00344  0.0969
26        8       0.03680          0.00370  0.1005
27        8       0.03667          0.00307  0.0837
28        8       0.03718          0.00474  0.1276
29        8       0.03532          0.00336  0.0952
30        8       0.03593          0.00406  0.1129
31        8       0.03418          0.00407  0.1192
32        8       0.03484          0.00719  0.2064
33        8       0.03397          0.00578  0.1701
34        8       0.03377          0.00474  0.1403
35        8       0.02930          0.00283  0.0964

--- per-head spread, kind=v ---
 L  n_heads  head_mean_mu  head_mean_sigma      cv
--  -------  ------------  ---------------  ------
 0        8       0.03691          0.00180  0.0488
 1        8       0.03640          0.00396  0.1089
 2        8       0.03889          0.00280  0.0720
 3        8       0.03987          0.00423  0.1062
 4        8       0.04212          0.00275  0.0652
 5        8       0.04180          0.00455  0.1090
 6        8       0.04549          0.00363  0.0797
 7        8       0.04516          0.00638  0.1413
 8        8       0.04596          0.00375  0.0816
 9        8       0.04731          0.00736  0.1555
10        8       0.04666          0.00440  0.0943
11        8       0.04885          0.00555  0.1136
12        8       0.05025          0.00615  0.1223
13        8       0.04904          0.00430  0.0877
14        8       0.04910          0.00490  0.0999
15        8       0.04842          0.00270  0.0557
16        8       0.04902          0.00558  0.1139
17        8       0.04869          0.00295  0.0605
18        8       0.05109          0.00577  0.1129
19        8       0.05223          0.00544  0.1042
20        8       0.05436          0.00202  0.0372
21        8       0.05495          0.00583  0.1061
22        8       0.05906          0.00709  0.1200
23        8       0.06201          0.00478  0.0770
24        8       0.05721          0.00388  0.0678
25        8       0.05939          0.00660  0.1111
26        8       0.06059          0.00610  0.1007
27        8       0.05727          0.00562  0.0981
28        8       0.06055          0.00913  0.1508
29        8       0.05342          0.00815  0.1525
30        8       0.05923          0.00798  0.1347
31        8       0.05830          0.00630  0.1080
32        8       0.05405          0.00426  0.0788
33        8       0.05177          0.00847  0.1637
34        8       0.05217          0.00722  0.1384
35        8       0.05022          0.00944  0.1879

=== H2: same-head identity across layers (rank correlation of head-mean scales) ===
Spearman near 0: each layer rearranges 'loud' heads. Spearman near 1: head identity preserved across depth.
kind  n_pairs  spearman_mean  spearman_std     min     max
----  -------  -------------  ------------  ------  ------
q          35         +0.006         0.296  -0.646  +0.487
k          35         -0.079         0.436  -0.976  +0.762
v          35         +0.014         0.345  -0.762  +0.619

=== H2-extreme: which head is the loudest at each layer? ===
  kind=q: head 'loudest at how many layers?' top 3: [(13, 3), (19, 3), (14, 3)]  (out of 36 layers)
  kind=k: head 'loudest at how many layers?' top 3: [(3, 7), (7, 6), (6, 6)]  (out of 36 layers)
  kind=v: head 'loudest at how many layers?' top 3: [(3, 8), (6, 7), (4, 6)]  (out of 36 layers)
